,순위,곡ID,곡명,가수,앨범,좋아요,가사
27,28,37121222,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,"20,215",듣고있나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 내 안의 그대를 놓을 수 없네요 애써도 그게 잘 안돼요 마음과 반대로 밀어내려 할수록 이토록 더 아파지네요 기억하나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 스쳐가는 이 계절을 지나 언젠가는 멀어질 걸 아니까 더 모질게 그댈 밀어냈어요 너무 가슴이 미칠 듯 아파도 듣고 있나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 아무 이유 없이 눈물 나는 날에는 그댈 찾아가고 있네요 이렇게 기억해줘요 내 모든 날과 그때를 지울수록 선명해지니까 가슴 아프겠지만 그대를 보내야 해요 나를 기억해주세요 나 그대만 사랑했음을
28,29,37347900,너의 편이 돼 줄게,다비치,너의 편이 돼 줄게,"4,332",오늘 어떤 하루를 보냈나요 별일 없다면 다행이에요 꾹 다문 입술 잠깐 스친 표정에 괜스레 걱정이 되네요 애써 웃음 짓는 그대를 보면 내가 뭐든 다 해주고 싶어 움츠린 어깨 안아줄 수 있어서 그게 고마운 걸요 언제라도 너의 편이 돼 줄게 어디로든 같이 걸어 갈게 꼭 잡은 두 손 어느새 닮아 있는 우리 이렇게 완벽할 수 있나요 혹시라도 고단한 세상 속에 초라한 모습에 숨고 싶을 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에 눈을 맞추며 안부를 묻는 게 이렇게 따뜻할 수 있나요 평범한 날들 특별할 것 없지만 이게 행복인 걸 알죠 언제라도 너의 편이 돼 줄게 어디로든 같이 걸어 갈게 꼭 잡은 두 손 어느새 닮아 있는 우리 이렇게 완벽할 수 있나요 혹시라도 고단한 세상 속에 초라한 모습에 숨고 싶을 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에 별 볼일 없던 메마른 어지럽던 나의 일상에 눈부신 너라서 지켜낼 거야 간절히 함께할 거야 언젠가는 불어온 바람에 쓰러질 듯 두려운 맘 앞에 사랑해 말하며 서로를 바라보는 일 이렇게 눈물 날 수 있나요 혹시라도 엉망이 된 하루에 도망치고 싶어 지친 맘일 때 나에게 와요 기대어 앉아요 늘 내가 있을게요 그대 곁에
29,30,37229123,관객이 될게 (I stan U),아이유,The Winning,"31,587","사소한 틈새의 one milli 그게 널 다르게 만들지 잔뜩 찡그려 웃는 버릇이나 자주 고르는 단어 하나하나 모두 바라보게 만들어 널 숨기지 마 Don't be silly 때때로 넌 자신 없어 하지만 그 수줍음조차 그저 좋아 난 흐리거나, 시리도록 맑을 (손에 닿거나, 아득히 멀어질) 네 모든 날들의 어느 열렬한 관객이 될게 난 나의 너를 믿어 You're stunning, so stunning Go on 이 느낌 이어가 Ballad, Disco, Hip-Hop 상관없어 너 끌리는 대로 해 좋아 그건 또 그대로 I'm stanning, just stanning You, I trust my you 가, 너만의 승리를 이뤄 I'm stanning, just stanning you 오늘도 스치듯 그 말이 날 쉬게 하는 걸 아는지 스르르 기분 좋은 웃음이 나 또 어떻게든 파고들어 와 넌 어둡거나, 눈부시게 밝을 (소란하거나, 아득히 고요할) 그 모든 날들의 어느 열렬한 관객이 될게 난 나의 너를 믿어 You're stunning, so stunning Go on 이 느낌 이어가 Ballad, Disco, Hip-Hop 상관없어 너 끌리는 대로 해 Oh 좋아 그건 또 그대로 I'm stanning, just stanning you 막이 오르는 순간 조금 철이 없길 바라 놀아 어린아이처럼 다 숨죽인 무대 한가운데에서 그저 넌 너답게 웃어줘, 날아줘 넌 너의 나를 믿어 You're stunning, so stunning Go on 노래를 이어가 Country, Classic, Lo-Fi 상관없어 너 끌리는 대로 해 Oh 좋아 그건 또 그대로 I'm stanning, just stanning You, I trust my you 가, 너만의 승리를 이뤄 I'm stanning, just stanning you"
30,31,37269926,봄이 와도,로이킴,봄이 와도,"15,660","내가 가는 길마다 예쁘게 피어 있던 꽃들을 보며 참 많이 웃었고, 참 많이 울었지 마치 온 세상을 다 가진 것 같았어 그러다 내가 시들어 갈 때면 그 꽃들은 온데간데없었고 그저 내게 남아있던 건 항상 나의 곁에 있어줬지만 보지 못했던 너 봄이 와도 설레지 않을 것이고 여름이 와도 나는 흔들리지 않을 거야 가을이 오면 무너지지 않고 견뎌 왔음에 감사하며 겨울엔 나를 지켜 줬던 그대만을 내 맘에 새길 거야 내가 주는 사랑은 그렇게 쉽게 없어지지 않기에 그 모진 말들과 이해하려는 노력 속에 나는 그렇게 너로 인해 숨을 쉰 거야 이렇게 너는 나의 우주야 지금처럼만 빛나는 거야 더 커다란 기대보다는 그저 함께 있음에 감사하며 잊지 않는 거야 봄이 와도 설레지 않을 것이고 여름이 와도 나는 흔들리지 않을 거야 가을이 오면 무너지지 않고 견뎌 왔음에 감사하며 겨울엔 나를 지켜 줬던 그대만을 그대만을 봄이 와도 설레지 않을 것이고 여름이 와도 나는 흔들리지 않을 거야 가을이 오면 무너지지 않고 견뎌 왔음에 감사하며 겨울엔 나를 지켜 줬던 그대만을 내 맘에 새길 거야"
31,32,37324348,영원,DK(디셈버),영원 (남은 인생 10년 X DK(디셈버)),"4,469",이제껏 나 숨 쉬고 있는 이유는 하나 걸어온 길이 너무도 쉽지 않았기 때문에 내 사랑은 늘 그래 왔듯이 눈물만 남겨져 나 가진 것이 많아야 이룰 수 있는 건가 봐 이제 사는 법을 알겠어 세상이 원하는 걸 다시 내 삶을 돌려 널 만난다면 널 잃지 않을 거야 기다릴게 나 언제라도 저 하늘이 날 부를 때 한없이 사랑했던 추억만은 가져갈게 우리 다시 널 만난다면 유혹뿐인 이 세상에 나 처음 태어나서 몰랐다고 말을 할게 나 약속해 기다릴게 나 언제라도 저 하늘이 날 부를 때 한없이 사랑했던 추억만은 가져갈게 우리 다시 널 만난다면 유혹뿐인 이 세상에 나 처음 태어나서 몰랐다고 말을 할게 나 약속해
32,33,37292496,BODY,하이라이트 (Highlight),Switch On,"11,511",Shake your body your body your body right Don’t let it get to your mind Shake your body your body your body right We’re gonna party tonight alright 반복되는 Day and night 불이 켜진 City light 뭔가 다른 하루를 원하지 Let’s go to paradise 걱정은 말고 Fly up the sky 너와 함께 너를 위한 All my love It is up to you Shake that Shake your body your body your body right Don’t let it get to your mind Shake your body your body your body right We’re gonna party tonight alright 날 따라 Make it simple 다른 건 다 비워 놔 그저 마음대로 Everything tonight 너만이 나의 모든 이유일 테니까 달빛 아래 발을 맞춘 이 순간 Move move move your body Be your fantasy 뭐든 좋으니 Tell me what you need 모든 리듬이 네게 맞춰진 우리만의 Playlist 빈틈조차 하나 없는 Fit 꼭 맞아 너와 난 이 음악처럼 너를 위한 All my love It is up to you Shake that Shake your body your body your body right Don’t let it get to your mind Shake your body your body your body right We’re gonna party tonight alright 날 따라 Make it simple 다른 건 다 비워 놔 그저 마음대로 Everything tonight 너만이 나의 모든 이유일 테니까 달빛 아래 발을 맞춘 이 순간 Move move move So come on Body oh uh wah Baby come to me 가까이 It’s alright It’s alright Just right now Show me your love 이 밤이 터질 듯이 Dance all night yeah Shake your body your body your body right Don’t let it get to your mind your mind Shake your body your body your body right We’re gonna party tonight alright 날 따라 Make it simple 다른 건 다 비워 놔 그저 마음대로 Everything tonight 너만이 나의 모든 이유일 테니까 달빛 아래 발을 맞춘 이 순간 Move move move your body
33,34,37322101,멈춰줘,헤이즈 (Heize),눈물의 여왕 OST Part.3,"5,779","비겁해, 난 또 뒤돌아 너에게 등을져 지금도 이렇게 많은 말을 삼킨채 단 한발자국 거리만 남긴채 대답해, 나는 뭘 너에게 해주면 될까 무섭게 너에게만을 향해 가는데 저 앞에 니가 있는걸 아는데 멈춰줘, 제발 나를 여기서 너에게 뛰어가는 날 멈춰줘 나는 너를 잊는 법을 니가 없는 나의 길은 모르니 날 멈춰줘 소중해 네겐 모든걸 다 주고 싶었어 미안해 턱없이 모자란건 알지만 내 마음이 널 그리워해 아니 그립다 못해 아파해 사소한 실랑이도 죽을만큼 다툰 일도 난 이젠 없으면 안돼 멈춰줘, 제발 나를 여기서 너에게 뛰어가는 날 멈춰줘 나는 너를 잊는 법을 니가 없는 나의 길은 모르니 니가 없는 그 빈자릴 따라 이 순간에도 난 너에게 가는 꿈을 꿔 난 또 나의 모두는 너의것 내게 하나 남은건 너의 이름 기억 멈춰줘, 제발 나를 여기서 너에게 뛰어가는 날 멈춰줘 나는 너를 잊는 법을 니가 없는 나의 길은 모르니 날 멈춰줘"
34,35,37315987,FRI(END)S,V,FRI(END)S,"21,106","You’re in my head I had plans for the weekend But wound up with you instead Back here again Got me deep in my feelings When I should be in your bed You and I go back to like ’09 it’s like forever And you were there my lonely nights, yeah, keeping me together So wouldn’t it make sense if I was yours and you could call me your baby But we say we’re just, say we’re just Friends Just for now Yeah but friends don’t say words that Make friends feel like more than just Friends Just for now Now I’m over pretending So let’s put the “end” in friends Friends are not supposed to get too close And feel emotions that we’re feeling now, now, now We ain’t slowing down, down, down (yeah, yeah, yeah) But once we cross the line, there’s no denying you and I can never turn around, round, round Know we’ll never be the same You and I go back to like ’09 it’s like forever And you were there my lonely nights, yeah, keeping me together So wouldn’t it make sense if I was yours and you could call me your baby But we say we’re just, say we’re just Friends Just for now Yeah but friends don’t say words that Make friends feel like more than just Friends Just for now Now I’m over pretending So let’s put the “end” in friends Friends Just for now Yeah but friends don’t say words that Make friends feel like more than just Friends Just for now Now I’m over pretending So let’s put the “end” in friends"
35,36,37344905,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"3,648",It's the same day 이렇게 너를 다시 불러보는 잊고 있던 마음들과 이제야 내미는 나의 미련한 진심들 늦어서 미안해 I wish I could  have told you that I was born to love you To love you with all my heart 널 향한 심장이 멈춰지지가 않아 Still want you all the time 아직 내 마음속 한켠의 방에 그리움으로 가득 채워 너를 기다려 Need you all the time 아무 말도 전하지 못해 시간속을 헤메이는 나를 미워해 It’s the same night 흐릿한 어느 밤 안개 속에 너를 불러보곤 해 난 또 시간 저편에 빛나던 기억을 떠올려 두 손 꼭 잡았던 I wish I could have told you that I was made to love you To love you with all my heart 망설이다 혼자 삼켰던 말 사랑해 Still want you all the time 아직 내 마음속 한켠의 방에 그리움으로 가득 채워 너를 기다려 Need you all the time 미친 듯이 네게 달려가 두 팔 가득 너를 품고 And I want you to know you’re the only reason that I still breathe that I still live And to tell you 사랑했던 나의 진심이 사랑받던 모든 기억이 내 모든 이유 유일한 이유 Hmmm
36,37,37323944,HAPPY,DAY6 (데이식스),Fourever,"14,081",그런 날이 있을까요? 마냥 좋은 그런 날이요 내일 걱정 하나 없이 웃게 되는 그런 날이요 뭔가 하나씩은 걸리는 게 생기죠 과연 행복할 수 있을까요 그런 날이 있을까요? 꿈을 찾게 되는 날이요 너무 기뻐 하늘 보고 소리를 지르는 날이요 뭐 이대로 계속해서 버티고 있으면 언젠가 그런 날이 올까요 May I be happy? 매일 웃고 싶어요 걱정 없고 싶어요 아무나 좀 답을 알려주세요 So help me 주저앉고 있어요 눈물 날 것 같아요 그러니까 제발 제발 제발요 Tell me it’s okay to be happy 알고리즘엔 잘된 사람만 수도 없이 뜨네요 뭐 이대로 계속해서 살아만 있으면 언젠가 저런 날이 올까요 May I be happy? 매일 웃고 싶어요 걱정 없고 싶어요 아무나 좀 답을 알려주세요 So help me 주저앉고 있어요 눈물 날 것 같아요 그러니까 Tell me it’s okay to be happy 그냥 쉽게 쉽게 살고 싶은데 내 하루하루는 왜 이리 놀라울 정도로 어려운 건데 May I be happy? 매일 웃고 싶어요 걱정 없고 싶어요 아무나 좀 답을 알려주세요 So help me 주저앉고 있어요 눈물 날 것 같아요 그러니까 제발 제발 제발요 Tell me it’s okay to be happy
37,38,37132313,Beautiful Things,Benson Boone,Slow It Down,"21,599","For a while there it was rough But lately I’ve been doing better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She’ll come and stay the night I think I might have it all And I thank god everyday For the girl he sent my way But I know the things he gives me He can take away And I hold you every night That’s a feeling I wanna get used to But there’s no man as terrified As the man who stands to lose you Oh I hope I don’t lose you Mmm Please Stay I want you I need you oh God Don’t Take These beautiful things that I’ve got Please stay I want you I need you oh God Don’t take These beautiful things that I’ve got Please don’t take, I found my mind I’m feeling sane It’s been a while but I’m finding my faith If everything’s good and it’s great why do I sit and wait till it’s gone Oh I’ll tell ya I know I’ve got enough I got peace, And I got love, But I’m up at night thinking I just might lose it all Please stay I want you I need you oh God Don’t take These beautiful things that I’ve got Please stay I want you I need you oh god I need These beautiful things that I’ve got"
38,39,37293415,자꾸만 웃게 돼,부석순 (SEVENTEEN),눈물의 여왕 OST Part.1,"11,539","Hoo Hoo Hoo Hoo Hoo Hoo Hoo Hoo 두근대는 마음을 따라 너에게 가는 나의 발걸음은 마치 구름위를 날으는듯 해 꿈속의 언젠가 처럼 Only if you are waiting for me Then I could walk though the fire for you When you say my name, the whole world stops I'm amazed at the way you see me 왜인지는 모르겠지만 자꾸만 웃게돼 너의 마법에 걸린것 같아 나는 Wherever you go whatever you do 널 알아 볼 수 있을 것 같아 멈추지 않는 내 심장이 죽을것 같이 뛰고있어 I say You stepped into my heart Softer than Summer night Became my everything There's no way without you now 종일 니 목소릴 듣고 너무 행복해 눈물도 짓고 온통 니생각에 가득한 수많은 밤들을 지새우곤해 You are my treasure and my soul You are the reasons of my smiles 눈 속에 핀웃음들은 어린날에 본 소설속의 이야기들보다 더 그댄 날 들뜨게하네 Wherever you go whatever you do 널 알아 볼수있을 것 같아 멈추지않는 내 심장이 죽을것 같이 뛰고있어 I say You stepped into my heart Softer than Summer night Became my everything And now I know you're a piece of my heart You take my hands, take my whole life Do you see the flowers in my eyes I'll tell you now I know There's no way without you now"
39,40,37229122,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,The Winning,"26,727","It's not about F (F) not about L (L) We got something else 뒷짐을 진채 따라갈래 그녀의 긴 발자국 서로를 이어 (서로를 이어) How special we are (special we are) 그 존재감에 입을 다무네 영원히 날 앞서는 그 이름은 Shh... 음 아마 첫사랑이지 또한 내 첫 세상 뚫어져라 무언가 바라보는 시선 역시 같은 눈동자를 가진 그녀를 닮아서일까 음 즐거운 악몽이지 우리는 시소에 올라 또 오르락내리락 도통 이해가 안 되는 일이지 유쾌하지 않은 꿈에서까지 널 보며 왜 웃고 있을까 It's not about F (F) not about L (L) We got something else 굵고 까맣게 (F) 땋은 양갈래 (L) 이야길 담은 입술 서로를 이어 (서로를 이어) How special we are (special we are) 참 시시하게 (F) 혹은 비범하게 (L) 한 조각씩 내어준 그 이름은 Shh.. 옷자락 휘날리던 등장에 대하여 (Salute) 그보다 꼿꼿하던 퇴장을 향하여 빛에 맞서던 순간도 빛을 등지던 순간도 음음 내내 자신답던 그녀를 위하여 멈춘 적 없는 오랜 혼잣말처럼 나의 시간 어딘가 영원히 풀리지 않는 암호 같은 그녀들에게 It's all about F (F) All about L (L) We got something else 난 마주할래 (F) 오랜 감정에 (L) 이름을 붙일 자유 서로를 이어 (서로를 이어) How special we are (special we are) 끝내 재가 될 때 (F) 까지 내 안에 (L) 빨갛게 숨 타오를 그 이름은 Shh.. 여기 낡은 이야기 하나 있죠 모두가 다 아는, 그러나 또 모르는 그 이름은 Shh.."
40,41,37322771,Nectar,더보이즈 (THE BOYZ),THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,"13,693","작은 온기조차 없게 식어 버린 My bed 시간마저 멈춰 버린 하루 (Feelin’ the gloom) 까마득한 저 어둠 속 손을 뻗을수록 멀어져 넌 Blue sky Little stars 모두 다 빛이 바래만 가 Every night Every day 공허한 맘을 덮친 Daybreak 들이켤수록 널 헤매지 In my heart 퍼져 가 황홀한 Dreams come true oh So sweet like Nectar Give it to me Give it to me like that that So sweet like Nectar Cuz I want it 커져 버린 환상 속에 너를 향해 달려 난 I just can’t deny you 눈부신 You are my Nectar Run, run, baby where I go? 점점 너에게로 I’m addicted I’m addicted to you Umm my Nectar You got everything I need 깊이 너를 느끼지 I’m addicted I’m addicted to you Umm my Nectar So what? Heart like a pain machine 네게 날 이끈 Thirsty 너란 View 속의 Shine breeze 아스라이 물든 My lips Why’d you go Let me know (Beautiful eyes) 달리는 My feet (그 날의 우린) Please how to revive it (잊혀질 수 없이) 넌 잊지 않길 (아름다워) Go baby We don’t stop it Every time Every where 당연한 그리움에 Mayday 더 외칠수록 선명해진 Fantasize 가득한 너와 내 Dreams come true oh So sweet like Nectar (Come on) Give it to me Give it to me like that that So sweet like Nectar Cuz I want it 커져 버린 환상 속에 너를 향해 달려 난 I just can’t deny you 눈부신 You are my Nectar 매일 네 곁에 가까워져 갈 이 꿈에 Stay with me 이끌리듯 난 Closer 네게로 Closer What a shine (There’s no one like you babe) Give it to me Give it to me like that that So sweet like Nectar (Oh ah) Keep on runnin’ 깊이 그려 온 네게 Yeah (Takin’ all the way) 멈출 수가 없어 난 I just can’t deny you (You wah babe) 눈부신 You are my Nectar Run, run, baby where I go? 다시 너에게로 I’m addicted I’m addicted to you Umm my Nectar (My Nectar) 아득하게 펼쳐진 영원 속의 You and me I’m addicted I’m addicted to you Umm my Nectar"
41,42,37257417,AK47,Men's Tear(맨스티어),AK47,"25,983","우리 동네는 밤마다 울려 총성 Why you scared? 잘 봐봐 난 이렇게 컸어 우리 동네는 밤마다 울려 총성 탕탕 그르르 두두두두 탕탕 우리 동네는 밤마다 울려 총성 총기 손질 깜빡했다 칵칵칵 이 총 하나면 다 나 한테 충성 AK47 AK47 AK47 맞고 사망한 외할머니 그 말대로 악소리 47번 외치셨지 RIP RIP to my Sweety Granma 복수는 나의 것, 그놈은 긴장하라 그래 인마 지옥 같았던 가정폭력 엄마라는 작자의 수차례 등짝 공격 나약했던 과거는 깔끔하게 청산 피에는 피 두고 봐 차액은 끝까지 정산 But Sorry to my mom. 이제 내가 호강시켜 줄 테니 절대 걱정 마 은행 털고, 납치하고, 약팔고 남긴 돈으로 요양원 보낼 때까지 달리자 Let's get it! Ho 자신 있게 올려 총기 합법화 국민청원 양심 있음 찬성 그에게 닿게 윤석열 필요한 건 오직 한자루의 AK 쌈뽕한 내 AKA what? K$AP Rama! 쉿 우리 동네는 밤마다 울려 총성 Why you scared? 잘 봐봐 난 이렇게 컸어 우리 동네는 밤마다 울려 총성 탕탕 그르르 두두두두 탕탕 우리 동네는 밤마다 울려 총성 총기 손질 깜빡했다 칵칵칵 이 총 하나면 다 나 한테 충성 AK47 AK47 내 다리 사이 AK 침실에서 전쟁해 연발 헤드라인 조준해 니 여친에게 쏘아대 니 여친 흘려 피 알 다 깬 토게피 상관 없지 어차피 귀찮아 MBTI P임 내 차에 올라 타 내 차는 엘 카미노 차 끈지 오래 돼 감 잃어 사고 났지롱 낼 카지노 가서 합의금 따지 뭐 낼 하기로 했는데 왜 넌 화내노 느그 아버지 뭐 하시노 돈을 털어 약을 훔쳐 너를 죽여 여자 태워 총을 장전 약을 빨어 탈세 신고 눈을 감어 내 친구는 무기징역 조직 보스 난 다 찔러 술 마시면 무죄 판결 한국 법이 나를 살려 니 여친은 너랑 하며 내 이름을 졸라 불러 돌잔치에 너의 딸은 사실 내꺼 I’m your father 니 아빠의 장례식에 조의금은 내지 않아 머릿고기 가득 채워 비락식혜 3개 챙겨 우리 동네는 밤마다 울려 총성 Why you scared? 잘 봐봐 난 이렇게 컸어 우리 동네는 밤마다 울려 총성 탕탕 그르르 두두두두 탕탕 우리 동네는 밤마다 울려 총성 총기 손질 깜빡했다 칵칵칵 이 총 하나면 다 나 한테 충성 AK47 AK47"
42,43,37225605,Swan Song,LE SSERAFIM (르세라핌),EASY,"20,240","나의 이름푠 수많은 names 부르지 중고 Kiss on it 마치 chocolate 쓰지만 달고, 내 상처뿐인 다린 Whip it whip 쉰 적이 없지 살기 위한 dancing 난 비밀 위 swan, I sing it Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 해도해도 힘든 swim 그럼에도 계속해서 kill these waves now Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 의심해도 피어나 flame 노래 불러 역사가 될 이 노래 수많은 날 수많은 밤 수많은 눈물 때론 나 초조하곤 해 받아도 더 받아도 더 사랑이 고파 겁나지, 욕심이 날 kill 서사 그만 좀 쓰라고 또 날 조리돌릴테니 다시 우아한 척 백조처럼 dive 숨 가쁘지만 Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 해도해도 힘든 swim 그럼에도 계속해서 kill these waves now Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 의심해도 피어나 flame 노래 불러 역사가 될 이 노래 Eh eh eh eh eh eh Black swan, 난 black swan, 난 like 이 노랠 부르면 Blah, blah, blah, 또 뭐라 하겠지 Shut up, watch me kill this Shining like a diamond, sing it Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 해도해도 힘든 swim 그럼에도 계속해서 kill these waves now Black swan, 난 black swan, 난 like Black swan, 난 black swan, 난 like 의심해도 피어나 flame 노래 불러 역사가 될 이 노래 Eh eh eh eh eh eh Black swan, 난 black swan, 난 like"
43,44,37322103,고장난걸까,10CM,눈물의 여왕 OST Part.2,"4,418","Whenever you come 알 수 없는 일이야 아주잠시 두눈을 깜빡이면 Never felt like this 또 어느새 난 너의 발자욱 따라 걸어 가고있어 잊었던 계절의 모퉁이에서 혹시 우리는 마주했었을까 잠시 또, 머리를 털어내봐도 웃음이 새어나곤해 고장난걸까 You are the light to my darkness I just realized it 여름밤 축제 불꽃들처럼 쏟아져내려 When you tell me your dreams I don't need a reason 어느새 너를 바라보는 나의 그림자 I'm staying, staying for a lifetime I'm staying, staying with you Forever and more I still don't know why 이런 나의 마음이 튀어나오려해 너를 볼때 Are you the same 너의 하루가 온통 궁금해 나는 이렇게 매일 이유없이 어깨를 부딫쳐와도 웃음이 새어나오곤해 고장난걸까 You are the light to my darkness I just realized it 어두운 밤의 불꽃들처럼 쏟아져내려 When you tell me your dreams I don't need a reason 어느새 너를 바라보는 나의 그림자 It takes no time to fall Into your smile, into your smile I can't help looking at you It takes no time to fall Into your eyes, into your eyes I'm telling you I'm staying, staying for a lifetime I'm staying, staying with you Forever and more"
44,45,37323949,그게 너의 사랑인지 몰랐어,DAY6 (데이식스),Fourever,"11,718",그게 너의 사랑인지 몰랐어 그땐 그게 그런 건지 몰랐어 늘 함께 있는 게 너무 당연해서 특별한 건 아니라 생각했어 넌 어떻게… 잘 지내니? 이제서야 조금은 알 것 같아 전하려던 마음을 네가 원한 대답을 다 지나고 나서야 누구보다 따뜻했던 네 말투도 나보다 더 기뻐하던 모습도 나와 같이 흘려주던 눈물도 그게 너의 사랑인지 몰랐어 유난히 어색했던 네 표정도 장난으로 넘겼던 그 고백도 행복하라던 마지막 인사도 그땐 그게 사랑인 줄 나는 몰랐어 요즘도 넌 곧잘 웃니 난 그리워 너의 환한 미소가 가볍게 친 장난이 가볍던 내 모습이 무겁게 나를 눌러 누구보다 따뜻했던 네 말투도 나보다 더 기뻐하던 모습도 나와 같이 흘려주던 눈물도 그게 너의 사랑인지 몰랐어 돌이킬 수 없는 걸 자꾸 돌이켜 보며 없는 너에게 말해 I was in love We were in love 돌아갈 수 없는 시간을 멀리 둔 채 아… 누구보다 따뜻했던 그날들도 너를 보며 기뻐하던 모습도 너와 함께 흘리던 그 눈물도 그게 나의 사랑인지 몰랐어 유난히 어색했던 네 표정도 장난으로 넘겼던 그 고백도 행복하라던 마지막 인사도 그땐 그게 사랑인 줄 나는 몰랐어
45,46,37200403,STUPID IN LOVE (feat. 허윤진 of LE SSERAFIM),MAX,LOVE IN STEREO,"1,128","Beautiful, Beautiful, Beautiful There’s something about your eyes Tell me these feelings are mutual Cuz feelings are so hard to fight Know it’s a little soon, maybe But I’d go anywhere you take me Long as you’re calling me, baby They can all call us crazy Let’s get married in Vegas We don’t need a guest list I don’t wanna think too much Let’s get matching tattoos I don’t wanna think it through Baby I’m so stupid in love So stupid in love with you I’m so stupid in love So stupid in love with you I’m so stupid in love Hi, you came (feelin’ you) Babe I’ve been waiting for you all day So lean my way (my way) Let me just take away all the pain I know, it’s a bit soon for vows Paper rings are good for now But know, I’m already down the aisle Cuz I’m so stupid in love Let’s get married in Vegas We don’t need a guest list I don’t wanna think too much Let’s get matching tattoos I don’t wanna think it through Baby I’m so stupid in love Book a flight to Paris only one way What’d you think about sharing our last name? Let’s get straight to “I Do”, I don’t wanna think it through Baby I’m so stupid in love So stupid in love with you I’m so stupid in love So stupid in love with you I’m so stupid in love So tell me right now, before we come down Can we make it work baby let’s find out Tell me right now, before we come down Can we make it work baby let’s find out Let’s get married in Vegas We don’t need a guest list I don’t wanna think too much Let’s get matching tattoos I don’t wanna think it through Baby I’m so stupid in love Book a flight to Paris only one way What’d you think about sharing our last name? Let’s get straight to “I Do”, I don’t wanna think it through Baby I’m so stupid in love So stupid in love with you I’m so stupid in love So stupid in love with you I’m so stupid in love Stupid in love with you Beautiful, beautiful, beautiful"
46,47,37139650,Obsessed,Ayumu Imazu,Obsessed,"25,896",“You got to let go” Maybe it’s a little too late ‘Cause I already put my all to the table Everything about me from the gecko There goes another love song Hate that it’s becoming my usual Taking things slow I just can’t control Baby I’m incapable of it Then one day (You show up) You show up like heaven sent you here So I say (Hello) how you doin’ nice to meet you All my friends (No no) are telling me she might be bad news Now I can’t go back Yeah you know I’m caught up in you I get obsessed so easily Like honestly wtf is wrong with me I go two nights out with a girl And I think I’m in love Why do I fall so easily Or is it that she’s so perfect for me I can’t keep on meeting the love of my life like this But I guess I’m obsessed with you Think I’m doing better Took a little but I got my head on (straight) Finally takin a good care of me myself and I don’t wanna wait no more Trying everything I can like meditating Keeping myself busy down to every second So I don’t have time to fantasize What could’ve been like you and I But then again (You show up) You show up like heaven sent you here So I say (Hello) how you doin’ nice to meet you Is all the blame on me ‘cause you can’t deny your natural beauty Now I can’t go back Yeah you know I’m caught up in you I get obsessed so easily Like honestly wtf is wrong with me I go two nights out with a girl And I think I’m in love Why do I fall so easily Or is it that she’s so perfect for me I can’t keep on meeting the love of my life like this But I guess I’m obsessed with you I get obsessed so easily Like honestly wtf is wrong with me I go two nights out with a girl And I think I’m in love And Why do I fall so easily Or is it that she’s so perfect for me I can’t keep on meeting the love of my life like this But I guess I’m obsessed with you
